Emplacados,Categoria,Fabricante,Modelo,Preco,SalarioMinimo,Dolar,TaxaJuros,Ano,Mes,Mes1,Tipo
9435,Automoveis,VW,GOL,,,,,2022,6,1,Entrada
7938,Automoveis,HYUNDAI,HB20,,,,,2022,6,1,Hatch Pequenos
6309,Automoveis,VW,T_CROSS,,,,,2022,6,1,SUV
6104,Automoveis,JEEP,COMPASS,,,,,2022,6,1,SUV
6047,Automoveis,FIAT,CRONOS,,,,,2022,6,1,Sedans Pequenos
5924,Automoveis,HYUNDAI,CRETA,,,,,2022,6,1,SUV
5312,Automoveis,GM,TRACKER,,,,,2022,6,1,SUV
5043,Automoveis,RENAULT,KWID,,,,,2022,6,1,Entrada
4839,Automoveis,FIAT,PULSE,,,,,2022,6,1,SUV
4725,Automoveis,FIAT,MOBI,,,,,2022,6,1,Entrada
4349,Automoveis,PEUGEOT,208,,,,,2022,6,1,Hatch Pequenos
4315,Automoveis,NISSAN,KICKS,,,,,2022,6,1,SUV
4123,Automoveis,JEEP,RENEGADE,,,,,2022,6,1,SUV
3949,Automoveis,GM,ONIX,,,,,2022,6,1,Hatch Pequenos
3920,Automoveis,TOYOTA,COROLLA_CROSS,,,,,2022,6,1,SUV
3874,Automoveis,GM,ONIX_PLUS,,,,,2022,6,1,Sedans Compactos
3834,Automoveis,TOYOTA,COROLLA,,,,,2022,6,1,Sedans médios
3664,Automoveis,CITROEN,C4_CACTUS,,,,,2022,6,1,SUV
3603,Automoveis,VW,VOYAGE,,,,,2022,6,1,Sedans Pequenos
3097,Automoveis,FIAT,ARGO,,,,,2022,6,1,Hatch Pequenos
2930,Automoveis,VW,NIVUS,,,,,2022,6,1,SUV
2499,Automoveis,HYUNDAI,HB20S,,,,,2022,6,1,Sedans Pequenos
2431,Automoveis,HONDA,CITY,,,,,2022,6,1,Sedans Compactos
2239,Automoveis,TOYOTA,YARIS_HB,,,,,2022,6,1,Hatch Pequenos
1839,Automoveis,RENAULT,DUSTER,,,,,2022,6,1,SUV
1564,Automoveis,HONDA,CITY_HATCH,,,,,2022,6,1,Hatch Pequenos
1539,Automoveis,GM,SPIN,,,,,2022,6,1,Grandcab
1426,Automoveis,JEEP,COMMANDER,,,,,2022,6,1,SUV
1276,Automoveis,TOYOTA,YARIS_SEDAN,,,,,2022,6,1,Sedans Compactos
1169,Automoveis,TOYOTA,HILUX_SW4,,,,,2022,6,1,SUV
1062,Automoveis,RENAULT,SANDERO,,,,,2022,6,1,Hatch Pequenos
1028,Automoveis,CAOA_CHERY,TIGGO_5X,,,,,2022,6,1,SUV
946,Automoveis,GM,CRUZE_SEDAN,,,,,2022,6,1,Sedans médios
910,Automoveis,CAOA_CHERY,TIGGO_8,,,,,2022,6,1,SUV
895,Automoveis,RENAULT,LOGAN,,,,,2022,6,1,Sedans Pequenos
837,Automoveis,VW,TAOS,,,,,2022,6,1,SUV
744,Automoveis,CAOA_CHERY,TIGGO_7,,,,,2022,6,1,SUV
470,Automoveis,BMW,X1,,,,,2022,6,1,SUV
415,Automoveis,VW,VIRTUS,,,,,2022,6,1,Sedans Compactos
364,Automoveis,NISSAN,VERSA,,,,,2022,6,1,Sedans Pequenos
358,Automoveis,MITSUBISHI,ECLIPSE_CROSS,,,,,2022,6,1,SUV
317,Automoveis,BMW,320I,,,,,2022,6,1,Sedans Grandes
248,Automoveis,VW,POLO,,,,,2022,6,1,Hatch Pequenos
246,Automoveis,BMW,X3,,,,,2022,6,1,SUV
240,Automoveis,HYUNDAI,TUCSON,,,,,2022,6,1,SUV
229,Automoveis,FORD,BRONCO,,,,,2022,6,1,SUV
227,Automoveis,GM,EQUINOX,,,,,2022,6,1,SUV
209,Automoveis,RENAULT,CAPTUR,,,,,2022,6,1,SUV
178,Automoveis,VW,JETTA,,,,,2022,6,1,Sedans médios
9840,Comercial,FIAT,STRADA,,,,,2022,6,1,Pick-up's Pequenas
4481,Comercial,FIAT,TORO,,,,,2022,6,1,Pick-up's Grandes
3845,Comercial,TOYOTA,HILUX,,,,,2022,6,1,Pick-up's Grandes
2965,Comercial,GM,S10,,,,,2022,6,1,Pick-up's Grandes
1654,Comercial,MITSUBISHI,L200,,,,,2022,6,1,Pick-up's Grandes
1572,Comercial,FIAT,FIORINO,,,,,2022,6,1,Furgões Pequenos
1335,Comercial,FORD,RANGER,,,,,2022,6,1,Pick-up's Grandes
931,Comercial,RENAULT,OROCH,,,,,2022,6,1,Pick-up's Grandes
792,Comercial,NISSAN,FRONTIER,,,,,2022,6,1,Pick-up's Grandes
755,Comercial,VW,SAVEIRO,,,,,2022,6,1,Pick-up's Pequenas
663,Comercial,RENAULT,MASTER,,,,,2022,6,1,Furgões
393,Comercial,RENAULT,KANGOO,,,,,2022,6,1,Furgões
339,Comercial,PEUGEOT,EXPERT,,,,,2022,6,1,Furgões
278,Comercial,CITROEN,JUMPY,,,,,2022,6,1,Furgões
243,Comercial,FORD,MAVERICK,,,,,2022,6,1,Pick-up's Grandes
230,Comercial,KIA,K2500,,,,,2022,6,1,Furgões
164,Comercial,IVECO,DAILY 35-150,,,,,2022,6,1,Caminhão
154,Comercial,VW,MAN/EXPRESS,,,,,2022,6,1,Caminhão
151,Comercial,RAM,3500,,,,,2022,6,1,Pick-up's Grandes
150,Comercial,RAM,1500,,,,,2022,6,1,Pick-up's Grandes
131,Comercial,FIAT,DUCATO,,,,,2022,6,1,Outros
108,Comercial,FORD,TRANSIT,,,,,2022,6,1,Furgões
91,Comercial,PEUGEOT,PARTNER,,,,,2022,6,1,Furgões Pequenos
85,Comercial,MBENZ,SPRINTER 314,,,,,2022,6,1,Furgões
83,Comercial,VW,AMAROK,,,,,2022,6,1,Pick-up's Grandes
78,Comercial,IVECO,DAILY 30-130,,,,,2022,6,1,Caminhão
70,Comercial,IVECO,DAILY,,,,,2022,6,1,Furgões
70,Comercial,EFFA,V21,,,,,2022,6,1,Caminhão
52,Comercial,RAM,2500,,,,,2022,6,1,Pick-up's Grandes
35,Comercial,HYUNDAI,HR,,,,,2022,6,1,Caminhão
18,Comercial,MBENZ,SPRINTER,,,,,2022,6,1,Furgões
16,Comercial,PEUGEOT,BOXER,,,,,2022,6,1,Furgões
14,Comercial,EFFA,V22,,,,,2022,6,1,Caminhão
12,Comercial,CITROEN,JUMPER,,,,,2022,6,1,Furgões
12,Comercial,FIAT,SCUDO,,,,,2022,6,1,Furgões
11,Comercial,FOTON,AUMARK 35-14DT,,,,,2022,6,1,Caminhão
8,Comercial,MBENZ,SPRINTER 315,,,,,2022,6,1,Furgões
8,Comercial,MBENZ,SPRINTER 416,,,,,2022,6,1,Furgões
7,Comercial,JAC,v260,,,,,2022,6,1,Caminhão
7,Comercial,FOTON,AUMARK 1039,,,,,2022,6,1,Caminhão
5,Comercial,KIA,UK2500,,,,,2022,6,1,Caminhão
4,Comercial,GM,MONTANA,,,,,2022,6,1,Pick-up's Pequenas
3,Comercial,EFFA,V25,,,,,2022,6,1,Outros
3,Comercial,JAC,IEV750,,,,,2022,6,1,Outros
2,Comercial,FORD,F1000,,,,,2022,6,1,Outros
2,Comercial,FORD,F150,,,,,2022,6,1,Outros
2,Comercial,EFFA,K01,,,,,2022,6,1,Outros
2,Comercial,JAC,IEV 330P,,,,,2022,6,1,Outros
1,Comercial,CITROEN,BERLINGO,,,,,2022,6,1,Outros
11925,Automoveis,VW,GOL,,,,,2022,7,2,Entrada
8837,Automoveis,GM,ONIX,,,,,2022,7,2,Hatch Pequenos
8156,Automoveis,HYUNDAI,HB20,,,,,2022,7,2,Hatch Pequenos
8135,Automoveis,GM,ONIX_PLUS,,,,,2022,7,2,Sedans Compactos
6103,Automoveis,FIAT,ARGO,,,,,2022,7,2,Hatch Pequenos
5998,Automoveis,GM,TRACKER,,,,,2022,7,2,SUV
5300,Automoveis,FIAT,PULSE,,,,,2022,7,2,SUV
5221,Automoveis,NISSAN,KICKS,,,,,2022,7,2,SUV
5125,Automoveis,HYUNDAI,CRETA,,,,,2022,7,2,SUV
4776,Automoveis,VW,VOYAGE,,,,,2022,7,2,Sedans Pequenos
4489,Automoveis,RENAULT,KWID,,,,,2022,7,2,Entrada
4402,Automoveis,JEEP,COMPASS,,,,,2022,7,2,SUV
4264,Automoveis,JEEP,RENEGADE,,,,,2022,7,2,SUV
4035,Automoveis,TOYOTA,COROLLA,,,,,2022,7,2,Sedans médios
3829,Automoveis,FIAT,CRONOS,,,,,2022,7,2,Sedans Pequenos
3614,Automoveis,TOYOTA,COROLLA_CROSS,,,,,2022,7,2,SUV
3535,Automoveis,VW,T_CROSS,,,,,2022,7,2,SUV
3493,Automoveis,FIAT,MOBI,,,,,2022,7,2,Entrada
2995,Automoveis,VW,NIVUS,,,,,2022,7,2,SUV
2803,Automoveis,PEUGEOT,208,,,,,2022,7,2,Hatch Pequenos
2342,Automoveis,HONDA,CITY,,,,,2022,7,2,Sedans Compactos
2208,Automoveis,TOYOTA,YARIS_HB,,,,,2022,7,2,Hatch Pequenos
2039,Automoveis,RENAULT,DUSTER,,,,,2022,7,2,SUV
1609,Automoveis,HONDA,CITY_HATCH,,,,,2022,7,2,Hatch Pequenos
1483,Automoveis,JEEP,COMMANDER,,,,,2022,7,2,SUV
1350,Automoveis,TOYOTA,YARIS_SEDAN,,,,,2022,7,2,Sedans Compactos
1333,Automoveis,RENAULT,LOGAN,,,,,2022,7,2,Sedans Pequenos
1271,Automoveis,TOYOTA,HILUX_SW4,,,,,2022,7,2,SUV
1266,Automoveis,GM,SPIN,,,,,2022,7,2,Grandcab
1119,Automoveis,VW,TAOS,,,,,2022,7,2,SUV
1049,Automoveis,GM,CRUZE_SEDAN,,,,,2022,7,2,Sedans médios
958,Automoveis,HYUNDAI,HB20S,,,,,2022,7,2,Sedans Pequenos
897,Automoveis,RENAULT,SANDERO,,,,,2022,7,2,Hatch Pequenos
798,Automoveis,CITROEN,C4_CACTUS,,,,,2022,7,2,SUV
741,Automoveis,CAOA_CHERY,TIGGO_5X,,,,,2022,7,2,SUV
665,Automoveis,CAOA_CHERY,TIGGO_8,,,,,2022,7,2,SUV
556,Automoveis,CAOA_CHERY,TIGGO_7,,,,,2022,7,2,SUV
406,Automoveis,BMW,X1,,,,,2022,7,2,SUV
381,Automoveis,VW,VIRTUS,,,,,2022,7,2,Sedans Compactos
339,Automoveis,NISSAN,VERSA,,,,,2022,7,2,Sedans Pequenos
315,Automoveis,MITSUBISHI,ECLIPSE_CROSS,,,,,2022,7,2,SUV
279,Automoveis,BMW,320I,,,,,2022,7,2,Sedans Grandes
227,Automoveis,PEUGEOT,2008,,,,,2022,7,2,SUV
180,Automoveis,RENAULT,CAPTUR,,,,,2022,7,2,SUV
177,Automoveis,VW,POLO,,,,,2022,7,2,Hatch Pequenos
172,Automoveis,BMW,X3,,,,,2022,7,2,SUV
163,Automoveis,KIA,SPORTAGE,,,,,2022,7,2,SUV
162,Automoveis,FORD,BRONCO,,,,,2022,7,2,SUV
161,Automoveis,GM,EQUINOX,,,,,2022,7,2,SUV
10897,Comercial,FIAT,STRADA,,,,,2022,7,2,Pick-up's Pequenas
4333,Comercial,FIAT,TORO,,,,,2022,7,2,Pick-up's Grandes
4122,Comercial,TOYOTA,HILUX,,,,,2022,7,2,Pick-up's Grandes
2229,Comercial,GM,S10,,,,,2022,7,2,Pick-up's Grandes
1794,Comercial,MITSUBISHI,L200,,,,,2022,7,2,Pick-up's Grandes
1751,Comercial,VW,SAVEIRO,,,,,2022,7,2,Pick-up's Pequenas
1528,Comercial,FIAT,FIORINO,,,,,2022,7,2,Furgões Pequenos
1368,Comercial,RENAULT,OROCH,,,,,2022,7,2,Pick-up's Grandes
941,Comercial,RENAULT,MASTER,,,,,2022,7,2,Furgões
743,Comercial,NISSAN,FRONTIER,,,,,2022,7,2,Pick-up's Grandes
653,Comercial,FORD,RANGER,,,,,2022,7,2,Pick-up's Grandes
636,Comercial,VW,AMAROK,,,,,2022,7,2,Pick-up's Grandes
267,Comercial,RAM,3500,,,,,2022,7,2,Pick-up's Grandes
254,Comercial,KIA,K2500,,,,,2022,7,2,Furgões
225,Comercial,PEUGEOT,EXPERT,,,,,2022,7,2,Furgões
210,Comercial,RAM,1500,,,,,2022,7,2,Pick-up's Grandes
185,Comercial,VW,MAN/EXPRESS,,,,,2022,7,2,Caminhão
183,Comercial,FORD,MAVERICK,,,,,2022,7,2,Pick-up's Grandes
165,Comercial,CITROEN,JUMPY,,,,,2022,7,2,Furgões
162,Comercial,FORD,TRANSIT,,,,,2022,7,2,Furgões
136,Comercial,PEUGEOT,PARTNER,,,,,2022,7,2,Furgões Pequenos
113,Comercial,IVECO,DAILY 35-150,,,,,2022,7,2,Caminhão
106,Comercial,IVECO,DAILY,,,,,2022,7,2,Furgões
74,Comercial,EFFA,V21,,,,,2022,7,2,Caminhão
68,Comercial,RAM,2500,,,,,2022,7,2,Pick-up's Grandes
62,Comercial,MBENZ,SPRINTER 314,,,,,2022,7,2,Furgões
60,Comercial,FIAT,SCUDO,,,,,2022,7,2,Furgões
60,Comercial,MBENZ,SPRINTER 315,,,,,2022,7,2,Furgões
54,Comercial,FIAT,DUCATO,,,,,2022,7,2,Outros
29,Comercial,IVECO,DAILY 30-130,,,,,2022,7,2,Caminhão
26,Comercial,HYUNDAI,HR,,,,,2022,7,2,Caminhão
20,Comercial,EFFA,V22,,,,,2022,7,2,Caminhão
13,Comercial,CITROEN,JUMPER,,,,,2022,7,2,Furgões
13,Comercial,PEUGEOT,BOXER,,,,,2022,7,2,Furgões
12,Comercial,MBENZ,SPRINTER 416,,,,,2022,7,2,Furgões
11,Comercial,MBENZ,SPRINTER,,,,,2022,7,2,Furgões
10,Comercial,JAC,v260,,,,,2022,7,2,Caminhão
9,Comercial,JEEP,GLADIATOR,,,,,2022,7,2,Pick-up's Grandes
7,Comercial,FOTON,AUMARK 35-14DT,,,,,2022,7,2,Caminhão
6,Comercial,FOTON,AUMARK 1039,,,,,2022,7,2,Caminhão
6,Comercial,BYD,T3,,,,,2022,7,2,Furgões
5,Comercial,GM,SILVERADO,,,,,2022,7,2, Pick-up's Grandes
5,Comercial,RENAULT,KANGOO,,,,,2022,7,2,Furgões
4,Comercial,KIA,UK2500,,,,,2022,7,2,Outros
3,Comercial,EFFA,V25,,,,,2022,7,2,Outros
2,Comercial,FORD,F150,,,,,2022,7,2,Outros
2,Comercial,TOYOTA,BANDEIRANTE,,,,,2022,7,2,Outros
1,Comercial,AGRALE,AGRALE MARRUA,,,,,2022,7,2,Outros
1,Comercial,FORD,PAMPA,,,,,2022,7,2,Outros
11719,Automoveis,VW,GOL,,,,,2022,8,3,Entrada
10919,Automoveis,HYUNDAI,HB20,,,,,2022,8,3,Hatch Pequenos
9821,Automoveis,GM,ONIX,,,,,2022,8,3,Hatch Pequenos
8968,Automoveis,GM,ONIX_PLUS,,,,,2022,8,3,Sedans Compactos
7613,Automoveis,FIAT,MOBI,,,,,2022,8,3,Entrada
7594,Automoveis,FIAT,ARGO,,,,,2022,8,3,Hatch Pequenos
6829,Automoveis,RENAULT,KWID,,,,,2022,8,3,Entrada
6708,Automoveis,GM,TRACKER,,,,,2022,8,3,SUV
6194,Automoveis,VW,T_CROSS,,,,,2022,8,3,SUV
5806,Automoveis,HYUNDAI,CRETA,,,,,2022,8,3,SUV
5564,Automoveis,VW,VOYAGE,,,,,2022,8,3,Sedans Pequenos
5284,Automoveis,JEEP,COMPASS,,,,,2022,8,3,SUV
4771,Automoveis,FIAT,PULSE,,,,,2022,8,3,SUV
4654,Automoveis,JEEP,RENEGADE,,,,,2022,8,3,SUV
4250,Automoveis,NISSAN,KICKS,,,,,2022,8,3,SUV
3757,Automoveis,FIAT,CRONOS,,,,,2022,8,3,Sedans Pequenos
3386,Automoveis,TOYOTA,COROLLA,,,,,2022,8,3,Sedans médios
3380,Automoveis,VW,NIVUS,,,,,2022,8,3,SUV
3250,Automoveis,TOYOTA,COROLLA_CROSS,,,,,2022,8,3,SUV
2825,Automoveis,PEUGEOT,208,,,,,2022,8,3,Hatch Pequenos
2338,Automoveis,JEEP,COMMANDER,,,,,2022,8,3,SUV
2235,Automoveis,TOYOTA,YARIS_HB,,,,,2022,8,3,Hatch Pequenos
2087,Automoveis,RENAULT,DUSTER,,,,,2022,8,3,SUV
2084,Automoveis,HONDA,CITY,,,,,2022,8,3,Sedans Compactos
1983,Automoveis,CITROEN,C4_CACTUS,,,,,2022,8,3,SUV
1667,Automoveis,VW,TAOS,,,,,2022,8,3,SUV
1515,Automoveis,GM,SPIN,,,,,2022,8,3,Grandcab
1504,Automoveis,HONDA,CITY_HATCH,,,,,2022,8,3,Hatch Pequenos
1221,Automoveis,TOYOTA,HILUX_SW4,,,,,2022,8,3,SUV
1188,Automoveis,CAOA_CHERY,TIGGO_8,,,,,2022,8,3,SUV
1174,Automoveis,TOYOTA,YARIS_SEDAN,,,,,2022,8,3,Sedans Compactos
1002,Automoveis,RENAULT,SANDERO,,,,,2022,8,3,Hatch Pequenos
997,Automoveis,HYUNDAI,HB20S,,,,,2022,8,3,Sedans Pequenos
983,Automoveis,CAOA_CHERY,TIGGO_7,,,,,2022,8,3,SUV
889,Automoveis,GM,CRUZE_SEDAN,,,,,2022,8,3,Sedans médios
763,Automoveis,CAOA_CHERY,TIGGO_5X,,,,,2022,8,3,SUV
687,Automoveis,RENAULT,LOGAN,,,,,2022,8,3,Sedans Pequenos
487,Automoveis,BMW,X1,,,,,2022,8,3,SUV
486,Automoveis,HONDA,HR-V,,,,,2022,8,3,SUV
400,Automoveis,MITSUBISHI,ECLIPSE_CROSS,,,,,2022,8,3,SUV
